"locality","species_richness","gbif_records","latitude","longitude"
"Alto Anchicayá- La Riqueza - 3.6003x-76.8777 - May 12, 2017, 6:34","3","12","3.600285","-76.87773"
"Sede del Consejo--ca. 500 meters south of Quebrada Pericos next to highway","3","12","3.838495","-76.792885"
"Andean cock of the rock","3","12","3.54951","-76.88699"
"Parque ecológico Providencia, Reserva La Betulia","3","12","3.631525","-76.07944"
"10 oct. 2020 9:29 a. m.-3.354, -76.51","3","12","3.354347","-76.509605"
"Hostal Santa Eulalia","3","12","3.479914","-76.61057"
"Loboguerrero - Buga, Valle del Cauca, CO (3.892, -76.341)sonso Laguna","3","12","3.892095","-76.341125"
"(3,7411,-76,0758)","3","12","3.741138","-76.07583"
"Vía Buenos Aires, Valle del Cauca, CO (3.925, -76.181)","3","12","3.924607","-76.1812"
"Coomeva Terranova","3","12","3.406779","-76.53613"
"Finca La Medalla","3","13","3.214584","-76.54274"
"Aguadulce (3.9096,-77.0714)","3","13","3.909584","-77.07136"
"Ecoparque Vayjú","3","13","4.170553","-76.33796"
"RN Gallito de Roca","3","13","3.454472","-76.661354"
"Valle del Cauca, CO (3.592, -76.814)","3","13","3.591661","-76.81414"
"Parque de las Banderas, Cali, Valle del Cauca, CO (3,431, -76,543)","3","13","3.431439","-76.54288"
"Vereda Chinche Viejo","3","13","3.6675","-76.076722"
"Carretera Murrapal - (3,575, -76,879)","3","14","3.574509","-76.878654"
"Atuncela, Valle del Cauca","3","14","3.738824","-76.67708"
"Villa Fabiola","3","14","3.683061","-76.59494"
"Finca San Juan de la Carolina Valle Del Cauca 3.51525, -76.60803","3","14","3.51525","-76.608025"
"Ruta del siriri. Valle del Cauca, CO (3,375, -76,538)","3","14","3.375223","-76.53758"
"La Elsa","3","14","3.568302","-76.76231"
"Reserva Natural Altomira- Vereda, El Edén. El Cairo, Valle Del Cauca.","3","15","4.733489","-76.24384"
"Vereda Balsamar","3","15","4.010696","-76.0764"
"Corregimiento Los Andes - (3.432, -76.617)","3","15","3.432118","-76.61745"
"Ingenio III","3","15","3.386971","-76.5269"
"Corregimiento Buenos Aires","3","15","3.928066","-76.17401"
"Carrera 50 Calle 9c - Cali","3","15","3.410871","-76.54002"
"Parque Carlos Sarmiento Lora","3","15","4.063098","-76.19388"
"Antigua Vía A Buenaventura, Valle del Cauca, CO (3,527, -76,74)","3","15","3.527361","-76.7401"
"Parque del Limonar","3","16","3.400719","-76.52967"
"31 - Reserva Madhu, Valle del Cauca, CO (3.626, -76.197)","3","16","3.625974","-76.19693"
"PNN Farallones de Cali--Potrerito","3","17","3.215","-76.588"
"Valle del Cauca, CO (3.583, -76.792)","3","18","3.583172","-76.791954"
"Atuncela - Camino Principal 3.74931, -76.67368","3","18","3.749311","-76.67368"
"Buenos Aires, Valle Buga","3","18","3.92936","-76.17392"
"Parque Natural Regional Nima","3","18","3.52558","-76.10749"
"San Antonio Forest (Km-18)","3","18","3.52849","-76.61583"
"Parcelacion el Otun","3","19","3.670088","-76.239075"
"La Buitrera, CO (3.381, -76.568)","3","19","3.381402","-76.567764"
"Calle 10O 24D-2, Cali CO-Valle Del Cauca 3.44117, -76.54805","3","19","3.44117","-76.54806"
"Casa Surf Ananas - Ladrilleros - Valle del Cauca","3","20","3.947254","-77.3669"
"Torres de Comfandi Conjunto T, Calle 55","3","20","3.476948","-76.50184"
"Alcala - Filandia, Valle del Cauca, CO (4.658, -75.732)","3","21","4.658444","-75.73186"
"Finca San José, Corregimiento Zaragoza, Cartago. Valle del Cauca, CO.","3","21","4.694193","-75.916336"
"Lago Chilicote","3","22","4.078513","-76.203026"
"La Huerta Hotel (3.8898,-76.4413)","3","22","3.889758","-76.44134"
"Hacienda San Luis","3","22","4.863718","-75.91562"
"Edificio Bosque de Valladares","3","25","3.455448","-76.54725"
"Arboretum, Colegio Gilberto Alzate.","3","26","4.764727","-76.21979"
"Cali, Valle del Cauca, CO (3.448, -76.557)","3","28","3.447916","-76.556786"
"Donde Marianelly","3","29","3.325026","-76.629265"
"Parcelación Andalucía, Calle 54, Cali, Valle del Cauca, CO (3.353, -76.509)","3","29","3.352985","-76.50893"
"Cañaduzal Belen","3","33","3.5517","-76.2763"
"Condado Del Sur","3","39","3.253612","-76.55548"
"Bosque Chatas","3","44","3.856556","-76.334694"
"Humedal El Badeal, Cartago, Valle del Cauca, CO","3","45","4.792383","-75.923935"
"Hacienda la vitrina","3","47","4.705391","-75.922005"
"Finca El Edén","3","50","3.222558","-76.528694"
"Barrio La Flora","3","58","3.48614","-76.52268"
"Potrero de la 50, Cali, Valle del Cauca, CO","3","60","3.418855","-76.55228"
"Arrozales de Jamundí","3","65","3.233508","-76.532455"
"(3,8789,-76,4863)","2","2","3.878884","-76.486305"
"río Cali oeste","2","2","3.451073","-76.54401"
"Río Calima, Campo Alegre","2","2","3.974722","-76.4475"
"rio cañaveralejo y parques aledaños sector tequendama","2","2","3.410174","-76.5442"
"Río Cauca (3,887, -76,351)","2","2","3.886586","-76.35055"
"Vereda Barcelona Baja, Finca Calamar, Punto de censo 15","2","2","4.784167","-75.933889"
"Bosque Colibrí - Reserva Natural","2","2","3.390392","-76.609406"
"Ciénaga El Conchal","2","2","3.98474","-76.29669"
"Hacienda San Luis, Ansermanuevo, Valle del Cauca, CO (4,863, -75,913)","2","2","4.862841","-75.912994"
"Agualongo Potrerito","2","2","3.218821","-76.59682"
"Ciénaga Conchal- Sector Chambimbal","2","2","3.977778","-76.2975"
"La Victoria area","2","2","4.520648","-76.02762"
"6774 Calle 5, Buenaventura, Valle del Cauca, CO (3.873, -76.993)Mi Casa","2","2","3.872873","-76.99338"
"Rio La Vieja Finca de Sombriocafe - Valle del Cauca","2","2","4.663688","-75.85252"
"Rio Lili","2","2","3.361774","-76.52146"
"Bosque Colibrí, El Minuto, correg. Villacarmelo","2","2","3.390313","-76.60933"
"31VL04 1, Pradera CO-Valle Del Cauca 3.41030, -76.19809","2","2","3.4103","-76.19809"
"Chucheros","2","2","3.933049","-77.3117"
"El Remanso 760009, Cali CO-Valle Del Cauca 3.49424, -76.61054","2","2","3.494239","-76.61054"
"Hacienda Santa Lucía","2","2","3.962901","-77.18342"
"Chorrera La Elsa below Doña Dora (Queremal) 1.060m","2","2","3.56536","-76.75796"
"Finca Miraflores","2","2","4.82272","-76.1748"
"Rivera del Rio Lili","2","2","3.361826","-76.52535"
"Lago Ciudad Pacífica","2","2","3.346371","-76.513664"
"RN El Danubio, Sendero Alterno,Pe�as Blancas","2","2","3.407947","-76.654143"
"Vereda Villa Rosa, Finca La Hacienda, Punto de censo 7","2","2","4.786944","-76.157778"
"760528, Dagua CO-Valle Del Cauca 3.73697, -76.67890","2","2","3.73697","-76.6789"
"Cali, Cali - Dagua","2","2","3.51801","-76.6197"
"101 Calle 9, Versalles, Valle del Cauca, CO (4.574, -76.202)","2","2","4.574039","-76.20205"
"alambrado","2","2","4.413035","-75.886665"
"RN Los Yarumos","2","2","3.457324","-76.65809"
"Vda. Boyacá, Palmira","2","2","3.597479","-76.25405"
"Changri la","2","2","3.308297","-76.58722"
"Predio La Olga","2","2","3.42653","-76.56821"
"La Estrella - Bajo Calima","2","2","4.020184","-77.06605"
"El Brasil, Finca La Estrella","2","2","4.020439","-76.10573"
"El Bosque. Carmen","2","2","3.558215","-76.65507"
"Predio La Sonrisa, vereda La Robleda, mpio Toro","2","2","4.705556","-76.08111"
"La Flora, Cl. 47a Nte. No. 4b Norte-1","2","2","3.48481","-76.52286"
"La Floresta, Valle del Cauca, CO (3.679, -76.075)","2","2","3.678909","-76.07468"
"La Florida - Bosque de las Aves","2","2","3.526282","-76.616585"
"CO-Valle Del Cauca-Guadalajara De Buga (3.8836,-76.3490)","2","2","3.883633","-76.34903"
"Predio Quebrada Honda","2","2","3.432889","-76.633675"
"Predio Quebrada Honda, Sendero Caspicaracho","2","2","3.426683","-76.635933"
"""Vereda Platanares, humedal Platanares""","2","2","3.60408","-76.45863"
"Predio Rio Claro, vereda Balcanes bajo, municipio El Dovio","2","2","4.578847","-76.30855"
"Auto selected 4.66238, -75.79835","2","2","4.662377","-75.79835"
"CO-Valle del Cauca-El Cerrito - 3,697x-76,029 - 11 jun. 2017 10:59 p. m.","2","2","3.696738","-76.029045"
"CO-Valle del Cauca-El Cerrito - 3,692x-76,073 - 11 jun. 2017 11:00 p. m.","2","2","3.692161","-76.0734"
"El Salado,S.","2","2","3.558462","-76.73048"
"Buenaventura,vía Puerto,S.","2","2","3.91717","-77.06163"
"Promedicos","2","2","3.621424","-76.43804"
"Vía al Parque Natural AUA, Valle del Cauca, CO (3.888, -76.168)","2","2","3.887639","-76.16816"
"Vereda El Paraiso, Finca La Delia, Punto de censo 5","2","2","4.695278","-75.797222"
"CO-Valle del Cauca-El Cairo-Unnamed Rd - 4,81x-76,172","2","2","4.810208","-76.17179"
"Buga-Ginebra, Costa Rica, Valle del Cauca, CO (3,75, -76,237)","2","2","3.749646","-76.23681"
"La Garza","2","2","3.698333","-76.689369"
"Puerto Alejandría - Villa Rodas","2","2","4.624155","-75.85652"
"Bahía Málaga, quebrada La Alegría","2","2","4.12959","-77.25946"
"Vereda El Paraiso, Finca La Delia, Punto de censo 18","2","2","4.68","-75.798056"
"Punta Arenas","2","2","3.871642","-77.107754"
"Quebrada Aguaclara","2","2","3.59938","-76.99143"
"CO-Valle del Cauca-Dagua - 3,491x-76,628 - 24/03/2016 6:53","2","2","3.491183","-76.62823"
"4,3x-76,303 - 07/08/2016 14:38","2","2","4.30009","-76.303474"
"Buga-Hacienda el Diamante Corregimiento la Maria, Valle del Cauca, CO (3.906, -76.207)","2","2","3.90621","-76.207344"
"Finca Joel Toro","2","2","3.107944","-76.614528"
"Birdwatch La Conchita","2","2","3.529008","-76.611885"
"Villacarmelo, Valle del Cauca, CO (3.382, -76.623)","2","2","3.382447","-76.62302"
"CO-Valle del Cauca-Dagua-Buenaventura - 3.528x-76.742","2","2","3.528087","-76.74154"
"quebrada pájaro de oro","2","2","4.529332","-76.11239"
"Alto San Jose del Salado, Valle del Cauca, CO (3.57, -76.727)","2","2","3.569707","-76.72668"
"#44-34 Carrera 35, Palmira, Valle del Cauca, CO (3,54, -76,308) Parque del Azúcar","2","2","3.540092","-76.307686"
"El Alizal, El Placer - Valle del Cauca, CO (3.625, -76.32)","2","2","3.625209","-76.31959"
"El Alambrado","2","2","4.355141","-76.01277"
"Finca La Esperanza, Punto de censo MC4.2","2","2","3.976472","-76.185139"
"Vereda El Naranjo, Finca El Naranjo, Punto de censo 8","2","2","4.924667","-76.030167"
"El Aguila-Ansermanuevo, Valle del Cauca, CO (4.832, -75.986)","2","2","4.831725","-75.98572"
"4 Oeste1 Avenida 4 Oeste, Cali, Valle del Cauca, CO (3.451, -76.545)","2","2","3.451389","-76.54469"
"Virgen de los Pajareros","2","2","3.618876","-76.903984"
"Finca La Eucadia","2","2","3.217689","-76.544922"
"7-44 Calle 7, Cartago, Valle del Cauca, CO (4,747, -75,909)","2","2","4.746918","-75.908516"
"Aguacatal 2, Cali CO-Valle Del Cauca (3.4552,-76.5471)","2","2","3.455233","-76.54705"
"Recinto De Los Sueños","2","2","3.567995","-76.58916"
"Recorrido Yumbillo (Aves La Cumbre )","2","2","3.635371","-76.57842"
"Vereda El Naranjo, Finca El Naranjo, Punto de censo 3","2","2","4.919694","-76.033361"
"RedesParb, Relleno Yotoco, Valle del Cauca, CO (3.796, -76.451)","2","2","3.795578","-76.45068"
"Refugio","2","2","4.7408","-76.299909"
"Refugio Corazones Verdes, Alto Dapa","2","2","3.578549","-76.54808"
"Refugios de Calima, Darién CO-Valle Del Cauca (3.9244,-76.4905)","2","2","3.9244","-76.490456"
"CO-Valle del Cauca-Calima - 3.956x-76.493 - Sep 7, 2016 06:11","2","2","3.956311","-76.4926"
"9 dic. 2020 9:22 a. m.-4.267, -75.929","2","2","4.267092","-75.92887"
"Represa- Lago pichichi Ginebra CO-Valle Del Cauca 3.77144, -76.23629","2","2","3.771439","-76.23629"
"Villa Vanegas-La Floresta, Valle del Cauca, CO (3.721, -76.239)","2","2","3.721323","-76.23866"
"Finca La Felicidad","2","2","3.718028","-76.677444"
"Reserva Bitaco","2","2","3.615083","-76.59489"
"4 jul. 2022 12:02 p. m.-3.519, -76.209","2","2","3.518648","-76.20929"
"18-55 Calle 47c, Palmira, Valle del Cauca, CO (3.544, -76.298)","2","2","3.543796","-76.29831"
"# 14 04 Carrera 44, Cali, Valle del Cauca, CO (3.413, -76.529)","2","2","3.413165","-76.52869"
"La Maria, Dagua Valley, W Colombia","2","2","3.68333","-76.63333"
"Hacienda Guadalajara HG","2","2","3.471883","-76.2033"
"Esteros, Manglares -- La Barra","2","2","3.962918","-77.37172"
"Ecoparque Vayju","2","2","4.169831","-76.338326"
"4-05 Calle 10 Oeste, Cali, Valle del Cauca, CO (3,445, -76,55)","2","2","3.444969","-76.55024"
"alto velez","2","2","3.288379","-76.642555"
"Vereda El Naranjo, Finca El Naranjo, Punto de censo 11","2","2","4.92275","-76.033694"
"Vereda El Naranjo, Finca El Naranjo, Punto de censo 10","2","2","4.918944","-76.033556"
"169 Carrera 100, Cali, Valle del Cauca, CO (3.373, -76.538)","2","2","3.373364","-76.53765"
"16 nov. 2019 5:09 p. m.-3.792, -76.991","2","2","3.792353","-76.99055"
"Bitaco,Cuenca alta del rio Bitaco","2","2","3.558","-76.584"
"Bajo río Dagua, cerca a Buenaventura","2","2","3.83394","-76.79306"
"CO-Valle del Cauca-Cali - 3.413x-76.651 - abr. 27, 2017 20:51","2","2","3.412832","-76.6509"
"CO-Valle del Cauca-Cali - 3.411x-76.655 - abr. 27, 2017 20:50","2","2","3.410529","-76.65486"
"CO-Valle del Cauca-Cali - 3.365x-76.552 Club Campestre Cali","2","2","3.36505","-76.55237"
"CO-Valle del Cauca-Cali-Verda El Faro - 3.427x-76.601","2","2","3.427008","-76.6012"
"Bitaco,Cuenca alta del rio Bitaco,","2","2","3.558","-76.584"
"Hacienda La María","2","2","3.712896","-76.591137"
"Atuncela, W. Colombia","2","2","3.73778","-76.67639"
"CO-Valle del Cauca-Cali-Universidad Del Valle - 3.373x-76.531","2","2","3.373349","-76.53127"
"La Musguera to La Leonera","2","2","3.44551","-76.630264"
"(3,6234,-76,9293)","2","2","3.623425","-76.929306"
"yanaconas","2","2","3.434922","-76.60146"
"CO-Valle del Cauca-Cali-Parqueadero Club Campestre De Cali - 3,368x-76,546","2","2","3.368387","-76.54589"
"Aguacatal 2, Cali CO-Valle Del Cauca 3.45503, -76.54683","2","2","3.455035","-76.54683"
"Ecoparque La Bandera","2","2","3.396023","-76.56511"
"La nevera(Palmira)","2","2","3.547133","-76.07849"
"CO-Valle del Cauca-Cali-Carrera 102 - 3,364x-76,521","2","2","3.363996","-76.52063"
"Reserva Natural Altomira - El Cairo Valle","2","2","4.734619","-76.242966"
"Hacienda La Tatabrera - orilla del rió La Vieja hacia San Pablo - C. Riveralta - Municipio Obando Departamento Valle del Cauca.","2","2","4.517131","-75.871086"
"vereda el diamante (dagua)","2","2","3.48782","-76.62742"
"CO-Valle del Cauca-Cali-Autopista Simón Bolivar - 3,485x-76,496","2","2","3.48544","-76.49618"
"Reserva Natural Brasilia, Valle del Cauca, CO (3.452, -76.627)","2","2","3.451698","-76.626976"
"15-31 Calle 10, Caicedonia, Valle del Cauca, CO (4.333, -75.829)","2","2","4.332788","-75.82925"
"760528, Dagua CO-Valle Del Cauca 3.73797, -76.67770","2","2","3.737972","-76.6777"
"Reserva Natural Chimbilaco","2","2","3.936233","-76.356517"
"Vía a la Novillera","2","2","3.680421","-76.23309"
"Via a La Elvira, Valle del Cauca, CO (3.524, -76.616)","2","2","3.524028","-76.61624"
"Finca Los Olivos, Valle del Cauca, (3,417, -76,66)","2","2","3.417018","-76.66007"
"Reserva Natural El Encanto","2","2","4.488582","-76.2731"
"Ecolife, Darién, Valle del Cauca, CO (3,955, -76,486)","2","2","3.95513","-76.48552"
"ECOLIFE Vía a San José, Darién, Valle del Cauca, CO (3.955, -76.486)","2","2","3.955016","-76.48573"
"(3,6290,-76,9386)","2","2","3.629015","-76.93864"
"La Palmita, Reserva Natural Gallito de Roca","2","2","3.452559","-76.66029"
"Reserva Natural La Brasilia","2","2","3.450442","-76.62802"
"la Paz","2","2","3.541415","-76.58685"
"Cali-Road 25","2","2","3.446051","-76.54798"
"CO-Valle del Cauca-Cali-1c1-1c35 Carrera 66b - 3.397x-76.554","2","2","3.397093","-76.55381"
"Ecohotel Hacienda El Diamante","2","2","3.893668","-76.22373"
"Vereda El Congal, Finca El Topacio","2","2","4.669101","-75.716002"
"#56-70 Calle 1, Cali, Valle del Cauca, CO (3.409, -76.556)","2","2","3.408696","-76.556366"
"Cali - Dagua, Valle del Cauca, CO (3,488, -76,612)","2","2","3.488343","-76.61185"
"Finca Lucca (Dapa)","2","2","3.557616","-76.551765"
"Ecohotel Hacienda el Diamante","2","2","3.894328","-76.22393"
"CO-Valle Del Cauca-Buenaventura (3.5513,-76.8897)","2","2","3.551342","-76.8897"
"Reserva Natural Río Bravo","2","2","3.85291","-76.55085"
"CO-Valle del Cauca-Buenaventura - 3,706x-76,958 - 11 ene. 2017 5:30 p. m.","2","2","3.706205","-76.95839"
"CO-Valle del Cauca-Buenaventura-Cordoba - Loboguerrero - 3.844x-76.793","2","2","3.84366","-76.79275"
"#56N-81 Avenida 9 Norte, Cali, Valle del Cauca, CO (3.49, -76.528)","2","2","3.489694","-76.52753"
"CO-Valle del Cauca- Leonera 3.493x-76.633 - mar. 13, 2016 23:32","2","2","3.492668","-76.63293"
"Bosq.Urb. Alcibíades Libreros, (3.397, -76.547)","2","2","3.396886","-76.55059"
"Reserva Nirvana","2","2","3.471151","-76.19107"
"13/09/2020 1:43 p. m.-3,543, -76,63","2","2","3.54324","-76.630356"
"13. Obando, Valle del Cauca, CO (4.6, -75.908)","2","2","4.600293","-75.908424"
"CO-Quindío-Circasia (4.6581,-75.7320)","2","2","4.658147","-75.73205"
"vereda el aguacate","2","2","4.747221","-75.91163"
"13-80 Carrera 53, Cali, Valle del Cauca, CO (3.407, -76.534)","2","2","3.406766","-76.53399"
"CO-Quindío-Circasia (4,6583,-75,7314)","2","2","4.658349","-75.73143"
"Vereda Dos Quebradas","2","2","3.37331","-76.635895"
"Resguardo indígena Sxab U'se Yu' Luucx Pueblo Nuevo","2","2","3.191099","-76.7132"
"Vía Tenjo-La Esmeralda","2","2","3.537683","-76.14859"
"12. Obando, Valle del Cauca, CO (4.598, -75.911)","2","2","4.597994","-75.9105"
"Hacienda Novillera","2","2","3.669038","-76.230705"
"12 jul. 2020 11:14 a. m.-3,741, -76,487","2","2","3.741422","-76.48731"
"Finca Cajamarquita, Río Cajamarca","2","2","4.35245","-76.351828"
"club nautico calima","2","2","3.879024","-76.486435"
"760517, Yumbo CO-Valle Del Cauca 3.67015, -76.54707","2","2","3.67015","-76.547066"
"Club Farallones Cali - Carrera 126, Cali - Valle del Cauca, Colo","2","2","3.333263","-76.54183"
"Vereda Cocuyos, Ginebra, Valle del Cauca","2","2","3.770442","-76.196"
"eco parque lago de las garzas","2","2","3.3333","-76.537445"
"la riqueza","2","2","3.596345","-76.88649"
"La riqueza 2","2","2","3.60076","-76.89481"
"VÍa A Dapa, Arroyo Hondo, Valle del Cauca, CO (3.522, -76.523)","2","2","3.52192","-76.523476"
"La Riverita Calle del Guayabo","2","2","3.359975","-76.556465"
"Club Campestre Nature Trail","2","2","3.364","-76.55246"
"Club Campestre Farallones, Cali Colombia.","2","2","3.330915","-76.543724"
"Eco Parque de las Garzas, Jamundí CO-Valle Del Cauca (3,3328,-76,5366)","2","2","3.332825","-76.536606"
"La Sierpe","2","2","3.963843","-77.177795"
"Finca Bella Vista - parte alta","2","2","3.541005","-76.74745"
"Rio Arroyohondo","2","2","3.541949","-76.552"
"Finca Mi Tesoro, Vereda Tamboral, Florida, Valle del Cauca, CO (3.27, -76.218)","2","2","3.270305","-76.218315"
"La Sonora, Reserva Natural de la Sociedad Civil Villa Stella","2","2","4.23017","-76.39789"
"(3,8760,-76,4362)","2","2","3.875993","-76.43624"
"Avistamiento de aves doña Dora, Quemeral Valle del Cauca3.52444,- 76.70943","2","2","3.52444","-76.70943"
"342-34166 Carrera 91, Cali, Valle del Cauca, CO (3.377, -76.521)","2","2","3.376887","-76.52139"
"3403 Calle 15, Palmira, Valle del Cauca, CO (3,514, -76,307)","2","2","3.514326","-76.30749"
"vía a Cristo Rey, Cali CO-Valle Del Cauca","2","2","3.428106","-76.57598"
"Rio Bravo, Valle del Cauca, CO (3.884, -76.584)","2","2","3.883586","-76.58423"
"rio cali","2","2","3.451341","-76.54301"
"Rio Cali -- Avenida 2 Oeste","2","2","3.448685","-76.55637"
"Via a Burila y Aures, Valle del Cauca","2","2","4.312557","-75.818794"
"Auto selected 3.56890, -76.60274","2","2","3.568899","-76.60274"
"Vía sin nombre, Valle del Cauca, CO (3.866, -76.555)","2","2","3.866339","-76.554596"
"Balcon de Oriente La Reserva","2","2","3.393621","-76.53454"
"Hda.La Raquelita - vda.Sierra Mocha - Mpio. La Victoria.","2","2","4.478481","-75.87242"
"Laguna del Pondaje","2","2","3.434782","-76.48563"
"Road From Buenaventura To Sabaletas, CO (3.771, -76.974)","2","2","3.77131","-76.97396"
"Albania","2","2","3.733811","-76.00244"
"El Pomo (3,6316,-76,1842)","2","2","3.631637","-76.18415"
"Desembocadura Rio Danubio","2","2","3.619914","-76.88575"
"laguna sonso, Valle del Cauca, CO (3,887, -76,351)","2","2","3.887458","-76.35067"
"Robles II","2","2","3.124892","-76.5797"
"Yumbillo-Salazar","2","2","3.595399","-76.5571"
"Vereda Villa Rosa, Finca La Hacienda, Punto de censo 13","2","2","4.786944","-76.157778"
"Las Brisas","2","2","3.32025","-76.523636"
"Valle del Cauca, CO (4.529, -76.088)","2","2","4.529136","-76.08772"
"Rosa de los Vientos","2","2","3.884667","-76.51503"
"Cali, Valle del Cauca, CO (3.385, -76.607)","2","2","3.384871","-76.607445"
"Bosque de Yumbillo","2","2","3.62395","-76.560005"
"Rural, Pradera, Valle del Cauca, CO (3.398, -76.202)","2","2","3.398142","-76.20164"
"83b-35 Calle 15, Cali, Valle del Cauca, CO (3.384, -76.53)","2","2","3.383997","-76.53028"
"Las Nieves,La Palmera","2","2","4.013884","-76.501586"
"ruta Freka","2","2","3.898352","-76.17782"
"Valle del Cauca, CO (4.389, -75.86)","2","2","4.388994","-75.8599"
"Valle del Cauca, CO (4.254, -75.918)","2","2","4.254418","-75.91824"
"Vereda Villa Rosa, Finca La Hacienda, Punto de censo 1","2","2","4.786944","-76.157778"
"Sacar","2","2","3.894809","-76.630819"
"Bosque el Descanso-jamundi","2","2","3.260241","-76.607994"
"home sweet home","2","2","3.352456","-76.5605"
"Bosque escondido","2","2","3.363124","-76.53691"
"Llano Bajo","2","2","3.698653","-76.95803"
"Finca Osadía, Calimita, Valle del Cauca, CO (3,916, -76,495)","2","2","3.915889","-76.49482"
"(4.739, -76.303)","2","2","4.739417","-76.30277"
"Valle del Cauca, CO (4,297, -76,296)","2","2","4.296743","-76.295586"
"Darien-Vereda Santa Elena","2","2","3.926399","-76.50984"
"Bosque Inundable Colindres","2","2","3.253079","-76.51497"
"Loboguerrero - Buga, PUNTABRAVA, Valle del Cauca, CO (3.89, -76.361)","2","2","3.889911","-76.3608"
"Vereda Tanques, Finca Guayabo, Punto de censo 3","2","2","4.725833","-75.887778"
"El Peon, La Voragine, Valle del Cauca, CO (3,312, -76,58)","2","2","3.31168","-76.58032"
"Cea La Teresita , CO (3.45, -76.633)","2","2","3.45007","-76.63336"
"Cauca Valley between Yotoco and Vijes","2","2","3.773387","-76.41108"
"Yumbo-La Cumbre, Valle del Cauca, CO (3,588, -76,51)","2","2","3.588125","-76.51006"
"Valle del Cauca, CO (3.928, -76.486)","2","2","3.927603","-76.48625"
"San Emigdio, CVC Palmira Valle del Cauca, CO (3.548, -76.199)","2","2","3.547876","-76.19863"
"Localidad desconocida - (3,489, -76,628)","2","2","3.488929","-76.628044"
"(3.94, -77.346)","2","2","3.939687","-77.346214"
"Localidad desconocida - (3,504, -76,619)","2","2","3.504448","-76.61898"
"San Gerardo-Casasin, vereda Alto San Marcos, municipio Sevilla","2","2","4.225374","-75.89696"
"Vereda Tanques, Finca Guayabo, Punto de censo 2","2","2","4.717778","-75.887778"
"San Isidro, Finca Versalles","2","2","4.283928","-76.285825"
"Vía sin nombre, Valle del Cauca, CO (3.257, -76.641)","2","2","3.257225","-76.64121"
"Estadero Acapulco","2","2","3.615579","-76.11839"
"San Jose de la Montaña","2","2","3.504932","-76.62043"
"Cascada, Valle del Cauca, CO (3,883, -76,587)","2","2","3.883238","-76.5871"
"Auto selected 3.45855, -76.55245","2","2","3.458554","-76.55245"
"Valle del Cauca, CO (3.87, -76.354)","2","2","3.869761","-76.353966"
"Localidad desconocida - (3.511, -76.562)","2","2","3.511293","-76.56209"
"(3.915, -77.319)","2","2","3.914857","-77.318756"
"Localidad desconocida - (3.554, -76.759)","2","2","3.553598","-76.758934"
"San Luis - La Union Valle","2","2","3.866944","-76.212222"
"San Luis, Bitaco Valley, W. Colombia","2","2","4.55808","-76.08472"
"Bosque Samuel Alvarez (Dapa)","2","2","3.55588","-76.55577"
"San Miguel (3.4991, -76.6057)","2","2","3.4991","-76.6057"
"Finca Paraiso (Dapa)","2","2","3.560224","-76.56093"
"Dapa - finca el rincón","2","2","3.563841","-76.56691"
"El Peon","2","2","3.419653","-76.57843"
"Valle del Cauca, CO (3.837, -76.897)","2","2","3.837041","-76.89665"
"Calle 10, Darién, Valle del Cauca, CO (3.934, -76.49)","2","2","3.934163","-76.48982"
"Valle del Cauca, CO (3.836, -76.895)","2","2","3.835745","-76.89478"
"San Pablo, Km 16 carretera Cali - Buenaventura","2","2","3.52059","-76.611359"
"Vía sin nombre, Valle del Cauca, CO (3,597, -76,558)","2","2","3.597361","-76.557625"
"San Pedro II","2","2","4.039435","-76.30167"
"Localidad Desconocida - 3.663x-76.94 - 9 ene. 2017 17:40","2","2","3.662645","-76.93979"
"Santa Elena, Cerrito, Valle","2","2","3.656168","-76.241104"
"Vereda Tamboral, Campo Alegre","2","2","4.63564","-75.95337"
"Valle del Cauca, CO (3.736, -76.223)","2","2","3.735986","-76.22315"
"Valle del Cauca, CO (3.68, -76.17)","2","2","3.679983","-76.17034"
"Valle del Cauca, CO (3.674, -76.698)","2","2","3.674215","-76.69821"
"Santana","2","2","4.06489","-76.19491"
"Finca Pinzacua","2","2","4.681171","-75.78933"
"763538, Finca Manzanares Palmira CO-Valle Del Cauca 3.57675, -76.17506","2","2","3.576754","-76.17506"
"(3.4378,-76.6670)","2","2","3.437841","-76.66702"
"Sector Chipichape","2","2","3.475143","-76.526215"
"Lomazul - Finca","2","2","3.52869","-76.615875"
"Yumbo-La Cumbre, Valle del Cauca, CO (3,627, -76,537)","2","2","3.626541","-76.53721"
"Valle del Cauca, CO (3.67, -76.694)","2","2","3.670281","-76.69387"
"Casa El Rincón (Calle 50 # 119-63)","2","2","3.349072","-76.51394"
"Anichicaya--walk to upper dam","2","2","3.552716","-76.880226"
"Sendero Agroecologico Los Bolos","2","2","3.469461","-76.33101"
"Los acantilados hasta Playa Barra","2","2","3.930729","-77.36279"
"Sendero Calima","2","2","3.485932","-76.503716"
"Calle 11 103-100–103-72, Cali CO-Valle Del Cauca (3.3648,-76.5413)","2","2","3.364754","-76.54132"
"760530, Calima CO-Valle Del Cauca 3.94945, -76.49918","2","2","3.949452","-76.499176"
"Los Andes Valle del Cauca, CO (3.37, -76.625)","2","2","3.370421","-76.625305"
"Finca Raquel Ginebra, Valle del Cauca, CO (3,765, -76,233)","2","2","3.764674","-76.23267"
